id,cid,usn,ease,ivl,lastIvl,factor,time,type
1645550962771,1645550870303,0,3,-600,-60,0,15705,0
1645550969526,1645550878622,0,3,-600,-60,0,6753,0
1645550970913,1645550884416,0,3,-600,-60,0,1385,0
1645550972018,1645550888136,0,3,-600,-60,0,1102,0
1645550977062,1645550878622,0,3,1,-600,2500,5042,0
1645550980206,1645550888136,0,3,1,-600,2500,3133,0
1645550982518,1645550870303,0,3,1,-600,2500,2310,0
1645552226899,1645551987372,0,3,-600,-60,0,16861,0
1645552231415,1645552013814,0,3,-600,-60,0,4504,0
1645552232772,1645552019578,0,3,-600,-60,0,1353,0
1645552234627,1645552025132,0,3,-600,-60,0,1845,0
1645552236379,1645552031136,0,3,-600,-60,0,1749,0
1645552237859,1645552036070,0,3,-600,-60,0,1469,0
1645552239868,1645552041058,0,3,-600,-60,0,2006,0
1645552242469,1645552047643,0,3,-600,-60,0,2598,0
1645552244369,1645552051661,0,3,-600,-60,0,1890,0
1645552245825,1645552061522,0,3,-600,-60,0,1445,0
1645552247303,1645552065942,0,3,-600,-60,0,1469,0
1645552248795,1645552071525,0,3,-600,-60,0,1480,0
1645552250404,1645552079883,0,3,-600,-60,0,1598,0
1645552251791,1645552084019,0,3,-600,-60,0,1385,0
1645552253244,1645552096119,0,3,-600,-60,0,1450,0
1645552254229,1645552109302,0,3,-600,-60,0,983,0
1645552255327,1645552115210,0,3,-600,-60,0,1096,0
1645552256567,1645552120536,0,3,-600,-60,0,1228,0
1645552257484,1645552125595,0,3,-600,-60,0,906,0
1645552259175,1645552129988,0,3,-600,-60,0,1680,0
1645552265180,1645552036070,0,3,1,-600,2500,6001,0
1645552274524,1645552120536,0,3,1,-600,2500,9333,0
1645552280875,1645552019578,0,3,1,-600,2500,6340,0
1645552284224,1645552065942,0,3,1,-600,2500,3336,0
1645552296272,1645552071525,0,3,1,-600,2500,12037,0
1645552300900,1645552061522,0,3,1,-600,2500,4617,0
1645552306168,1645552096119,0,3,1,-600,2500,5257,0
1645552310336,1645552041058,0,3,1,-600,2500,4156,0
1645552312992,1645552013814,0,3,1,-600,2500,2644,0
1645552316956,1645552051661,0,3,1,-600,2500,3953,0
1645552319268,1645551987372,0,3,1,-600,2500,2300,0
1645552325583,1645552084019,0,3,1,-600,2500,6305,0
1645552329776,1645552025132,0,3,1,-600,2500,4190,0
1645552332187,1645552115210,0,3,1,-600,2500,2399,0
1645552339679,1645552047643,0,3,1,-600,2500,7480,0
1645552344172,1645552109302,0,3,1,-600,2500,4490,0
1645552348375,1645552125595,0,3,1,-600,2500,4193,0
1645552367275,1645552129988,0,3,1,-600,2500,18887,0
1645552374932,1645552031136,0,3,1,-600,2500,7645,0
1645552379415,1645552079883,0,3,1,-600,2500,4471,0
1645552420823,1645552134203,0,3,-600,-60,0,7783,0
1645552425872,1645552139554,0,3,-600,-60,0,5046,0
1645552427415,1645552146534,0,3,-600,-60,0,1541,0
1645552429279,1645552153688,0,3,-600,-60,0,1853,0
1645552430927,1645552134203,0,3,1,-600,2500,1645,0
1645552432604,1645552153688,0,3,1,-600,2500,1674,0
1645552435428,1645552146534,0,3,1,-600,2500,2813,0
1645552436799,1645552139554,0,3,1,-600,2500,1370,0
1645553343032,1629386634603,5,3,-600,-60,0,11717,0
1645553343034,1629386634604,5,3,-600,-60,0,5616,0
1645553343035,1629386634605,5,3,-600,-60,0,8982,0
1645553343036,1629386634606,5,3,-600,-60,0,4180,0
1645553343038,1629386634607,5,3,-600,-60,0,5207,0
1645553370356,1629386634608,5,3,-600,-60,0,6834,0
1645553370357,1629386634609,5,3,-600,-60,0,6486,0
1645553370358,1629386634610,5,3,-600,-60,0,4818,0
1645553370359,1629386634611,5,2,-330,-60,0,4676,0
1645553370360,1629386634612,5,3,-600,-60,0,4425,0
