id_book,page,start_time,duration,total_pages
1,2,1704186636,21,337
1,7,1704186665,80,337
1,24,1704186747,120,306
1,22,1704186905,6,281
1,22,1704186920,120,290
1,22,1704187084,120,290
1,22,1704188393,35,290
2,2,1704188864,5,354
2,10,1704265006,120,354
2,1,1704317318,69,354
2,5,1704317425,27,336
2,6,1704317452,7,336
2,7,1704317459,103,336
2,7,1704317566,24,343
2,8,1704317590,10,343
2,10,1704317602,5,343
2,11,1704317607,8,343
2,12,1704317615,17,343
2,13,1704317632,41,343
2,14,1704317673,70,343
2,15,1704317743,39,343
2,15,1704317800,7,343
2,16,1704317782,18,343
2,17,1704317809,93,343
2,18,1704317905,54,343
2,19,1704317959,12,343
2,20,1704317971,64,343
2,21,1704318035,120,343
2,22,1704318166,35,343
2,23,1704318205,67,343
2,24,1704318272,91,343
2,25,1704318363,83,343
2,26,1704318446,68,343
2,32,1704318963,29,343
2,32,1704318997,80,343
2,30,1704318703,6,343
2,30,1704318800,5,343
2,30,1704318810,56,343
2,29,1704318688,15,343
2,29,1704318709,91,343
2,28,1704318630,55,343
2,26,1704318559,15,343
2,33,1704319077,49,343
2,27,1704318514,45,343
2,27,1704318574,56,343
2,31,1704318866,95,343
2,34,1704403868,14,343
2,34,1704403883,58,343
2,34,1704403948,18,343
2,35,1704403966,54,343
2,36,1704404020,13,343
2,37,1704404033,38,343
2,38,1704404071,40,343
2,39,1704404111,39,343
2,40,1704404150,10,343
2,40,1704404161,18,343
2,41,1704404189,46,343
2,42,1704404235,29,343
2,43,1704404264,18,343
2,44,1704404289,26,343
2,45,1704404315,27,343
2,46,1704404342,35,343
2,47,1704404377,116,343
2,48,1704404493,21,343
2,49,1704404514,21,343
2,50,1704404535,62,343
2,51,1704404597,21,343
2,51,1704404620,18,343
2,52,1704404638,31,343
2,53,1704404669,23,343
2,54,1704404692,120,343
2,55,1704404862,49,343
2,64,1704405593,5,343
2,64,1704405603,79,343
2,62,1704405426,120,343
2,58,1704405108,120,343
2,56,1704404911,120,343
2,63,1704405548,41,343
2,63,1704405598,5,343
2,63,1704405682,5,343
2,60,1704405327,40,343
2,59,1704405239,88,343
2,61,1704405367,59,343
2,57,1704405086,22,343
2,71,1704493033,120,343
2,72,1704493198,37,343
2,68,1704492751,26,343
2,65,1704492519,71,343
2,69,1704492780,93,343
2,70,1704492873,120,343
2,67,1704492648,103,343
2,66,1704492590,58,343
2,73,1704493235,120,343
2,77,1704531072,10,343
2,76,1704531055,17,343
2,76,1704531082,100,343
2,74,1704530966,64,343
2,75,1704531030,25,343
2,80,1704580054,36,343
2,76,1704579757,30,343
2,83,1704580270,120,343
2,79,1704580006,48,343
2,82,1704580190,73,343
2,74,1704579496,12,343
2,74,1704579514,6,343
2,74,1704579536,86,343
2,74,1704579624,13,343
2,78,1704579864,120,343
2,73,1704579520,16,343
2,81,1704580090,93,343
2,75,1704579637,115,343
2,77,1704579787,77,343
2,88,1704580598,120,343
2,84,1704580398,29,343
2,95,1704581099,65,343
2,91,1704580934,22,343
2,87,1704580480,36,343
